Representation,Method,Chi-square p,Cluster,Cluster Size (ACRs),Shannon Diversity Index,Top Function 1,Top 1 (%),Top Function 2,Top 2 (%),Top Function 3,Top 3 (%)
strand_count,KMeans,<0.001,0,3200,1.24,Chromatin & Development,66.8,Multifunctional DOF Regulation,28.11,Inflorescence Development,2.24
strand_count,KMeans,<0.001,1,17153,1.909,Multifunctional DOF Regulation,56.88,Chromatin & Development,23.02,Vascular Development,9.85
strand_count,KMeans,<0.001,2,3972,0.779,Multifunctional DOF Regulation,85.47,Chromatin & Development,11.47,Vascular Development,1.02
strand_count,KMeans,<0.001,3,2864,0.646,Multifunctional DOF Regulation,90.23,Chromatin & Development,6.13,Vascular Development,1.13
strand_count,KMeans,<0.001,4,4106,1.296,Chromatin & Development,62.6,Multifunctional DOF Regulation,32.06,Vascular Development,2.02
strand_count,Hierarchical,<0.001,0,6008,1.398,Multifunctional DOF Regulation,51.6,Chromatin & Development,42.37,Vascular Development,2.97
strand_count,Hierarchical,<0.001,1,8634,1.537,Multifunctional DOF Regulation,48.02,Chromatin & Development,42.42,Vascular Development,5.42
strand_count,Hierarchical,<0.001,2,1772,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
strand_count,Hierarchical,<0.001,3,1843,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
strand_count,Hierarchical,<0.001,4,13038,3.25,Cell Cycle & DNA Replication,17.94,Chromatin & Development,17.76,Inflorescence Development,14.88
strand_binary,KMeans,<0.001,0,17741,2.172,Multifunctional DOF Regulation,48.88,Chromatin & Development,27.24,Vascular Development,8.33
strand_binary,KMeans,<0.001,1,2758,1.19,Multifunctional DOF Regulation,74.41,Chromatin & Development,18.15,Vascular Development,4.41
strand_binary,KMeans,<0.001,2,4629,1.11,Multifunctional DOF Regulation,79.54,Chromatin & Development,12.71,Vascular Development,3.8
strand_binary,KMeans,<0.001,3,3056,1.378,Chromatin & Development,58.94,Multifunctional DOF Regulation,34.56,Vascular Development,3.16
strand_binary,KMeans,<0.001,4,3111,1.37,Chromatin & Development,60.5,Multifunctional DOF Regulation,32.96,Vascular Development,2.43
strand_binary,Hierarchical,<0.001,0,8520,1.573,Multifunctional DOF Regulation,57.49,Chromatin & Development,30.41,Vascular Development,5.61
strand_binary,Hierarchical,<0.001,1,3539,0.84,Multifunctional DOF Regulation,84.97,Chromatin & Development,6.92,Vascular Development,6.9
strand_binary,Hierarchical,<0.001,2,3906,1.28,Chromatin & Development,55.77,Multifunctional DOF Regulation,40.26,Vascular Development,2.02
strand_binary,Hierarchical,<0.001,3,12793,2.973,Cell Cycle & DNA Replication,22.54,Multifunctional DOF Regulation,20.47,Telomere Regulation,20.32
strand_binary,Hierarchical,<0.001,4,2537,1.186,Chromatin & Development,61.45,Multifunctional DOF Regulation,35.56,Vascular Development,1.33
count_1gram_tfidf,KMeans,<0.001,0,13754,3.192,Multifunctional DOF Regulation,26.0,Inflorescence Development,15.02,Chromatin & Development,14.89
count_1gram_tfidf,KMeans,<0.001,1,4539,1.202,Chromatin & Development,67.55,Multifunctional DOF Regulation,27.85,Vascular Development,1.78
count_1gram_tfidf,KMeans,<0.001,2,5067,0.702,Multifunctional DOF Regulation,86.36,Chromatin & Development,11.63,Inflorescence Development,0.74
count_1gram_tfidf,KMeans,<0.001,3,4747,1.259,Multifunctional DOF Regulation,72.3,Chromatin & Development,15.83,Vascular Development,9.47
count_1gram_tfidf,KMeans,<0.001,4,3188,1.261,Chromatin & Development,64.45,Multifunctional DOF Regulation,30.53,Vascular Development,1.73
count_1gram_tfidf,Hierarchical,<0.001,0,6210,1.63,Multifunctional DOF Regulation,58.76,Chromatin & Development,23.95,Vascular Development,9.71
count_1gram_tfidf,Hierarchical,<0.001,1,4140,0.972,Chromatin & Development,60.59,Multifunctional DOF Regulation,39.37,Inflorescence Development,0.03
count_1gram_tfidf,Hierarchical,<0.001,2,4049,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
count_1gram_tfidf,Hierarchical,<0.001,3,13214,2.769,Multifunctional DOF Regulation,36.15,Chromatin & Development,25.66,Telomere Regulation,9.75
count_1gram_tfidf,Hierarchical,<0.001,4,3682,0.963,Chromatin & Development,61.94,Multifunctional DOF Regulation,38.02,Circadian & Flowering,0.03
count_2gram_tfidf,KMeans,<0.001,0,23267,1.93,Multifunctional DOF Regulation,46.09,Chromatin & Development,36.87,Vascular Development,6.8
count_2gram_tfidf,KMeans,<0.001,1,1742,0.825,Multifunctional DOF Regulation,83.38,Chromatin & Development,13.44,Vascular Development,1.66
count_2gram_tfidf,KMeans,<0.001,2,1362,1.294,Multifunctional DOF Regulation,49.63,Chromatin & Development,46.2,Vascular Development,2.11
count_2gram_tfidf,KMeans,<0.001,3,2669,1.107,Chromatin & Development,69.03,Multifunctional DOF Regulation,27.64,Vascular Development,1.63
count_2gram_tfidf,KMeans,<0.001,4,2255,0.962,Multifunctional DOF Regulation,78.3,Chromatin & Development,17.63,Vascular Development,2.77
count_2gram_tfidf,Hierarchical,<0.001,0,10134,1.594,Multifunctional DOF Regulation,45.48,Chromatin & Development,44.33,Vascular Development,5.14
