Representation,Method,Clusters,Largest Cluster,Smallest Cluster,Silhouette,Calinski-Harabasz,Davies-Bouldin,ARI Stability
strand_count,KMeans,5,17153,2864,0.4112278202430627,6749.884297880405,1.482905490956538,0.7456081151067319
strand_count,Hierarchical,5,13038,1772,0.41318588398684664,6048.125427437051,1.7205193964144823,
strand_binary,KMeans,5,17741,2758,0.3905072446339147,4762.301300513112,1.6266004415340984,0.7904622112842076
strand_binary,Hierarchical,5,12793,2537,0.34555563988768545,3105.097599480597,2.2263888769570443,
count_1gram_tfidf,KMeans,5,13754,3188,0.5610210545280319,11365.291068933495,1.108720352658563,0.9928288803966877
count_1gram_tfidf,Hierarchical,5,13214,3682,0.5252017700142156,8487.20595922755,1.490702595595622,
count_2gram_tfidf,KMeans,5,23267,1362,0.5051686583514488,3034.4335625822855,1.593655506094412,0.9236342408472054
count_2gram_tfidf,Hierarchical,5,17830,712,0.5375147859903743,2267.1688975283855,2.214127071889479,
count_3gram_tfidf,KMeans,5,29027,434,0.6073702027948276,973.8918398931644,1.6849312322372643,0.6240677054867245
count_3gram_tfidf,Hierarchical,5,29608,206,0.6003781150846617,803.556043254547,1.6403167976328814,
count_combined_tfidf,KMeans,5,15567,3294,0.4190244933769038,4047.1765113016845,1.953955718297942,0.9738923906318577
count_combined_tfidf,Hierarchical,5,13123,1217,0.4283488978244256,3469.4464764495583,2.1590386213669297,
binary_1gram_tfidf,KMeans,5,13915,3773,0.5762078928658976,10745.67858287645,1.1149693827352916,0.9750613135644811
binary_1gram_tfidf,Hierarchical,5,15704,3730,0.5464640801904306,9486.119820848377,1.1080233826362647,
binary_2gram_tfidf,KMeans,5,22916,1699,0.5051630839295079,2926.698203797045,1.6790562515895207,0.8625079275062572
binary_2gram_tfidf,Hierarchical,5,17779,1044,0.5362377031190619,2271.1342629467035,2.439058187277685,
binary_3gram_tfidf,KMeans,5,28794,507,0.6087742148335769,984.8686283083642,1.833287000064587,0.5935329116007109
binary_3gram_tfidf,Hierarchical,5,29699,167,0.5997303297220243,777.9253962789217,1.5706657864134381,
binary_combined_tfidf,KMeans,5,20757,844,0.40125148931642657,3293.140305925354,1.6589821931300448,0.8449865321693797
binary_combined_tfidf,Hierarchical,5,13637,1217,0.42235770967317476,3143.7708283023426,2.345546561694965,
strand_count_1gram_tfidf,KMeans,5,16158,2443,0.42204193301232623,5122.398745098445,1.5192572683620387,0.9704221173945863
strand_count_1gram_tfidf,Hierarchical,5,15054,1843,0.3970223146988868,3877.5120228810288,1.858747039290194,
strand_count_2gram_tfidf,KMeans,5,25800,929,0.44068957206101106,1127.4640362628868,2.495775812004322,0.5648721690211321
strand_count_2gram_tfidf,Hierarchical,5,28289,348,0.41644376595041543,880.661995965892,1.750187799547962,
strand_count_3gram_tfidf,KMeans,5,30488,41,0.5843832915698024,231.38647211189848,2.381263396090632,0.30393613253045243
strand_count_3gram_tfidf,Hierarchical,5,30830,55,0.5818426035116986,225.95170690583532,1.4931504341429018,
strand_count_combined_tfidf,KMeans,5,23886,1778,0.33974298478887377,2294.4181038906368,1.8048729917596105,0.7393632124184708
strand_count_combined_tfidf,Hierarchical,5,15133,1887,0.3601311467848627,2232.4854764856427,2.932086956880515,
